query,state
"dairy farms in Ain, Auvergne-Rhône-Alpes",Auvergne-Rhône-Alpes
"dairy farms in Allier, Auvergne-Rhône-Alpes",Auvergne-Rhône-Alpes
"dairy farms in Ardèche, Auvergne-Rhône-Alpes",Auvergne-Rhône-Alpes
"dairy farms in Cantal, Auvergne-Rhône-Alpes",Auvergne-Rhône-Alpes
"dairy farms in Drôme, Auvergne-Rhône-Alpes",Auvergne-Rhône-Alpes
"dairy farms in Haute-Loire, Auvergne-Rhône-Alpes",Auvergne-Rhône-Alpes
"dairy farms in Haute-Savoie, Auvergne-Rhône-Alpes",Auvergne-Rhône-Alpes
"dairy farms in Isère, Auvergne-Rhône-Alpes",Auvergne-Rhône-Alpes
"dairy farms in Loire, Auvergne-Rhône-Alpes",Auvergne-Rhône-Alpes
"dairy farms in Puy-de-Dôme, Auvergne-Rhône-Alpes",Auvergne-Rhône-Alpes
"dairy farms in Rhône, Auvergne-Rhône-Alpes",Auvergne-Rhône-Alpes
"dairy farms in Savoie, Auvergne-Rhône-Alpes",Auvergne-Rhône-Alpes
"poultry farms in Ain, Auvergne-Rhône-Alpes",Auvergne-Rhône-Alpes
"poultry farms in Allier, Auvergne-Rhône-Alpes",Auvergne-Rhône-Alpes
"poultry farms in Ardèche, Auvergne-Rhône-Alpes",Auvergne-Rhône-Alpes
"poultry farms in Cantal, Auvergne-Rhône-Alpes",Auvergne-Rhône-Alpes
"poultry farms in Drôme, Auvergne-Rhône-Alpes",Auvergne-Rhône-Alpes
"poultry farms in Haute-Loire, Auvergne-Rhône-Alpes",Auvergne-Rhône-Alpes
"poultry farms in Haute-Savoie, Auvergne-Rhône-Alpes",Auvergne-Rhône-Alpes
"poultry farms in Isère, Auvergne-Rhône-Alpes",Auvergne-Rhône-Alpes
"poultry farms in Loire, Auvergne-Rhône-Alpes",Auvergne-Rhône-Alpes
"poultry farms in Puy-de-Dôme, Auvergne-Rhône-Alpes",Auvergne-Rhône-Alpes
"poultry farms in Rhône, Auvergne-Rhône-Alpes",Auvergne-Rhône-Alpes
"poultry farms in Savoie, Auvergne-Rhône-Alpes",Auvergne-Rhône-Alpes
"cattle farms in Ain, Auvergne-Rhône-Alpes",Auvergne-Rhône-Alpes
"cattle farms in Allier, Auvergne-Rhône-Alpes",Auvergne-Rhône-Alpes
